Cắt tóc,100000,59
Gội đầu,50000,349
Nhuộm tóc,300000,75
Bấm phồng chân tóc,120000,28
Dập phồng,300000,59
Phục hồi tóc,160000,37
Uốn gợn sóng,450000,39
Uốn lọng,520000,47
Dập tóc,350000,39
Gội đầu|cắt tóc|nhuộm,420000,59
Gội đầu|cắt tóc|nhuộm|uốn gợn sóng,850000,37
Tẩy tóc|nhuộm,220000,5
Vệ sinh móng|sơn thường,100000,110
Vệ sinh móng|sơn gel,350000,75
Cạo mặt,50000,96
Đắp mặt nạ sữa chua,55000,11
Đắp mặt nạ đậu đỏ,55000,14
Đắp mặt nạ dưa leo,40000,12
Đắp mặt nạ khoai tây,45000,10
Đắp mặt nạ Hàn Quốc,150000,19
